routing,method,입력 parameter,Viewer 또는 다음 행선지,넘겨줄 파라메터,View 파일 이름
/bbs,,,/jw/bbs/user/login,,
/user,,,,,
login,POST,,/jw/bbs/board/list=1&f=?&q=?,list,web /bbs/user/login.jsp
list,POST,,,list,web /bbs/user/list.jsp
update,POST,,/jw/bbs/board/list=1&f=?&q=?,list,web /bbs/user/update.jsp
delete,POST,,/jw/bbs/board/list=1&f=?&q=?,list,web /bbs/user/delete.jsp
register,POST,,/jw/bbs/board/login,list,web /bbs/user/register.jsp
/board, ,,, ,
list,POST,,, ,web /bbs/board/list.jsp
update,POST,,/jw/bbs/board/list=1&f=?&q=?,list,web /bbs/board/update.jsp
delete,POST,,/jw/bbs/board/list=1&f=?&q=?,list,web /bbs/board/delete.jsp
